"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Technical Indicators","EMA Calculation","0","0","3","0","0"
"","Technical Indicators","ATR Calculation","0","0","4","0","0"
"","Feature Engineering","Edge Cases","0","0","2","0","0"
"","Scanner Service","Signal Evaluation","0","0","6","0","0"
"","Feature Engineering","Feature Computation","0","0","7","0","0"
"","Scanner Service","Signal Persistence","0","0","3","0","0"
"","Scanner Service","Model Loading","0","0","3","0","0"
"","Scanner Service","Edge Cases","0","0","3","0","0"
"","Technical Indicators","RSI Calculation","0","0","6","0","0"
"","Scanner Service","Stock Evaluation","0","0","4","0","0"
"","","","0","0","2","0","0"
